Cset,Phase,ConclusionRaw,Difficulty,ConclusionClass,Cset,Type,Assigns (Baseline),Assigns (Baseline+Repeat),Assigns (total),Q1 Quality (Voted),Q2 Quality (Voted),Cset Quality (voted),Q1 Quality (prescreen),Q2 Quality (prescreen),Cset Quality (prescreen),Subsession  Q2-K3,Intervening bullets (min),Intervening bullets (max),Cset Category (Detailed),Caliber Q1,Caliber Q2-K3
QQ8061,Primary (Baseline),ID,Easy,Match,QQ8061,QQ,3,3,3,A,A,A:A,P,P,PP,20190117C_2,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
QQ5036,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ5036,QQ,3,3,3,A,B,A:B,P,G,PG,20190621Q_3,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ5060,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ5060,QQ,2,2,2,A,A,A:A,P,P,PP,20190117A_4,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ5124,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5124,QQ,2,2,2,A,A,A:A,P,P,PP,20190621V_1,100.0,118.0,"Same Model, Diff Sess, JHP-FMJ",9ML,9ML
QQ5223,Primary (Baseline),ID,Easy,Match,QQ5223,QQ,2,2,2,A,B,A:B,P,G,PG,20190621K_3,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
QQ5369,Primary (Baseline),ID,Easy,Match,QQ5369,QQ,3,3,3,B,B,B:B,G,G,GG,20190415E_1,0.0,8.0,"Same Model, Same SubSess, JHP",038,038
QQ5426,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5426,QQ,1,1,1,B,C,B:C,G,G,GG,20190415Q_4,,,"Same Model, Diff Sess, FMJ",038,038
QQ5493,Primary (2nd assignments),LeanExcl,Norm,NonMatch,QQ5493,QQ,3,5,5,A,B,A:B,P,G,PG,20190621K_2,,,"Diff Model, JHP",9ML,9ML
QQ5493,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5493,QQ,3,5,5,A,B,A:B,P,G,PG,20190621K_2,,,"Diff Model, JHP",9ML,9ML
QQ5513,Primary (Baseline),Excl,Easy,NonMatch,QQ5513,QQ,3,3,3,A,A,A:A,P,P,PP,20190117A_3,,,"Diff Model, FMJ",9ML,9ML
QQ5533,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5533,QQ,2,2,2,B,B,B:B,G,G,GG,20190415P_3,100.0,118.0,"Same Model, Diff Sess, FMJ",038,038
QQ5558,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ5558,QQ,3,3,3,B,B,B:B,G,G,GG,20190415B_0,,,"Diff Model, JHP",038,038
QQ5591,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ5591,QQ,2,2,2,B,B,B:B,G,G,GG,20190416E_3,,,"Same Model, Diff Sess, JHP",038,038
QQ5732,Primary (Baseline),Excl,VEasy,NonMatch,QQ5732,QQ,3,3,3,A,A,A:A,P,P,PP,20190222A_4,,,"Diff Caliber, JHP",038,9ML
QQ5806,Primary (Baseline),Excl,Easy,NonMatch,QQ5806,QQ,3,3,4,A,B,A:B,G,G,GG,20190404B_0,60.0,78.0,"Same Model, Diff Sess, JHP-FMJ",9ML,9ML
QQ5888,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ5888,QQ,3,3,3,A,B,A:B,P,G,PG,20190415C_2,,,"Diff Make, FMJ-JHP",038,038
QQ5945,Primary (Baseline),Excl,VEasy,NonMatch,QQ5945,QQ,3,4,4,B,B,B:B,G,G,GG,20190618G_1,,,"Diff Model, JHP-FMJ",9ML,9ML
QQ6012,Primary (Baseline),Excl,Easy,NonMatch,QQ6012,QQ,3,3,3,A,A,A:A,P,P,PP,20190618D_1,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ6144,Supplemental,Insuff,Norm,Inconclusive,QQ6144,QQ,3,3,4,A,B,A:B,P,G,PG,20190507B_4,,,"Same Model, Diff Sess, JHP",040,040
QQ6179,Primary (Baseline),Excl,VEasy,NonMatch,QQ6179,QQ,3,4,4,A,A,A:A,P,P,PP,20190508F_0,,,"Diff Model, JHP",9ML,9ML
QQ6346,Primary (2nd assignments),Insuff,Norm,Inconclusive,QQ6346,QQ,3,5,5,A,A,A:A,P,G,PG,20190412B_4,,,"Diff Model, JHP-FMJ",038,038
QQ6346,Primary (Baseline),Insuff,Norm,Inconclusive,QQ6346,QQ,3,5,5,A,A,A:A,P,G,PG,20190412B_4,,,"Diff Model, JHP-FMJ",038,038
QQ6369,Primary (Baseline),Excl,VEasy,NonMatch,QQ6369,QQ,3,4,4,A,B,A:B,P,G,PG,20190507O_0,,,"Diff Make, JHP",9ML,9ML
QQ6429,Primary (Baseline),Insuff,Diff,Inconclusive,QQ6429,QQ,3,3,3,A,B,A:B,P,G,PG,20190618P_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ6712,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ6712,QQ,3,4,4,B,B,B:B,G,G,GG,20190415P_2,,,"Same Model, Diff Sess, JHP-FMJ",038,038
QQ6725,Primary (Baseline),Insuff,Norm,Inconclusive,QQ6725,QQ,1,1,1,A,B,A:B,P,G,PG,20190621O_1,40.0,58.0,"Same Model, Diff Sess, FMJ-JHP",9ML,9ML
QQ6764,Primary (Baseline),ID,Norm,Match,QQ6764,QQ,3,3,3,A,A,A:A,P,P,PP,20190507J_2,110.0,128.0,"Same Model, Diff Sess, FMJ",040,040
QQ6927,Supplemental,Insuff,Norm,Inconclusive,QQ6927,QQ,3,3,4,A,A,A:A,P,P,PP,20190507F_1,,,"Same Model, Diff Sess, JHP",040,040
QQ6972,Supplemental,LeanExcl,Norm,NonMatch,QQ6972,QQ,3,3,4,B,B,B:B,G,G,GG,20190415F_1,,,"Same Model, Diff Sess, FMJ-JHP",038,038
QQ7041,Primary (Baseline),ID,Norm,Match,QQ7041,QQ,1,1,1,A,A,A:A,P,P,PP,20190621E_2,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
QQ7204,Primary (Baseline),Excl,VEasy,NonMatch,QQ7204,QQ,3,4,4,A,A,A:A,P,P,PP,20190618M_2,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ7213,Primary (2nd assignments),Insuff,Norm,Inconclusive,QQ7213,QQ,3,5,5,C,C,C:C,G,G,GG,20190415D_0,,,"Same Model, Diff Sess, FMJ",038,038
QQ7213,Primary (Baseline),Insuff,Diff,Inconclusive,QQ7213,QQ,3,5,5,C,C,C:C,G,G,GG,20190415D_0,,,"Same Model, Diff Sess, FMJ",038,038
QQ7223,Primary (2nd assignments),LeanExcl,Norm,NonMatch,QQ7223,QQ,3,5,5,A,A,A:A,P,P,PP,20190508D_2,,,"Same Model, Diff Sess, JHP-FMJ",9ML,9ML
QQ7223,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ7223,QQ,3,5,5,A,A,A:A,P,P,PP,20190508D_2,,,"Same Model, Diff Sess, JHP-FMJ",9ML,9ML
QQ7306,Supplemental,Insuff,Norm,Inconclusive,QQ7306,QQ,3,3,4,A,B,A:B,P,G,PG,20190618A_4,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ7323,Primary (Baseline),Excl,VEasy,NonMatch,QQ7323,QQ,3,3,3,A,A,A:A,P,P,PP,20190117C_1,,,"Diff Make, JHP-FMJ",9ML,9ML
QQ7384,Primary (Baseline),Insuff,Norm,Inconclusive,QQ7384,QQ,3,3,3,A,B,A:B,P,G,PG,20190416I_1,,,"Same Model, Diff Sess, JHP",038,038
QQ7414,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ7414,QQ,1,1,1,B,B,B:B,G,G,GG,20190415B_4,,,"Diff Make, FMJ-JHP",038,038
QQ7470,Primary (Baseline),ID,Easy,Match,QQ7470,QQ,3,4,4,B,A,A:B,G,P,PG,20190501K_2,30.0,48.0,"Same Model, Diff Sess, FMJ",040,040
QQ7794,Primary (Baseline),Insuff,Norm,Inconclusive,QQ7794,QQ,3,4,4,B,B,B:B,G,G,GG,20190507P_0,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
QQ7930,Primary (Baseline),Insuff,Norm,Inconclusive,QQ7930,QQ,3,4,4,A,B,A:B,P,G,PG,20190621Q_1,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ8002,Primary (Baseline),Insuff,Norm,Inconclusive,QQ8002,QQ,3,4,4,B,B,B:B,G,G,GG,20190507L_0,20.0,38.0,"Same Model, Diff Sess, JHP-FMJ",040,040
QQ8032,Primary (Baseline),ID,Norm,Match,QQ8032,QQ,3,3,3,A,B,A:B,P,G,PG,20190415I_0,0.0,8.0,"Same Model, Same SubSess, JHP",038,038
QQ8039,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ8039,QQ,3,3,3,A,B,A:B,P,G,PG,20190404B_1,,,"Same Model, Diff Sess, JHP-FMJ",9ML,9ML
QQ8218,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ8218,QQ,3,3,3,A,A,A:A,P,P,PP,20190415F_3,,,"Diff Make, JHP",038,038
QQ8305,Primary (Baseline),Excl,VEasy,NonMatch,QQ8305,QQ,3,3,3,B,C,B:C,G,G,GG,20190404C_1,,,"Diff Caliber, JHP",038,9ML
QQ8343,Primary (Baseline),Insuff,Diff,Inconclusive,QQ8343,QQ,3,3,3,B,B,B:B,G,G,GG,20190507F_3,,,"Same Model, Diff Sess, JHP",040,040
QQ8390,Primary (Baseline),Excl,VEasy,NonMatch,QQ8390,QQ,1,1,1,A,B,A:B,P,G,PG,20190412B_2,,,"Diff Caliber, FMJ",9ML,038
QQ8399,Primary (Baseline),ID,Easy,Match,QQ8399,QQ,3,3,3,A,A,A:A,P,P,PP,20190618M_2,50.0,68.0,"Same Model, Diff Sess, JHP-FMJ",9ML,9ML
QQ8457,Primary (Baseline),Insuff,Norm,Inconclusive,QQ8457,QQ,3,4,4,A,A,A:A,P,P,PP,20190416A_3,,,"Same Model, Diff Sess, FMJ",038,038
QQ8763,Primary (Baseline),ID,Easy,Match,QQ8763,QQ,3,3,3,A,A,A:A,P,P,PP,20190320A_3,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
QQ8805,Primary (Baseline),Insuff,Diff,Inconclusive,QQ8805,QQ,3,3,4,C,A,A:C,G,P,PG,20190415D_0,130.0,148.0,"Same Model, Diff Sess, JHP-FMJ",038,038
QQ8902,Primary (2nd assignments),Insuff,Norm,Inconclusive,QQ8902,QQ,3,5,5,C,C,C:C,G,G,GG,20190416G_1,,,"Diff Make, FMJ",038,038
QQ8902,Primary (Baseline),Insuff,Diff,Inconclusive,QQ8902,QQ,3,5,5,C,C,C:C,G,G,GG,20190416G_1,,,"Diff Make, FMJ",038,038
QQ5043,Primary (Baseline),ID,Easy,Match,QQ5043,QQ,2,2,2,A,A,A:A,P,P,PP,20190501F_4,60.0,78.0,"Same Model, Diff Sess, JHP",038,038
QQ5069,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ5069,QQ,2,2,2,A,B,A:B,P,G,PG,20190501L_4,,,"Same Model, Diff Sess, FMJ-JHP",040,040
QQ5235,Primary (Baseline),NoValue,na,Inconclusive,QQ5235,QQ,3,3,3,B,A,A:B,G,P,PG,20190507B_3,,,"Diff Make, JHP",040,040
QQ5283,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5283,QQ,3,3,3,B,B,B:B,G,G,GG,20190416I_4,,,"Same Model, Diff Sess, JHP",038,038
QQ5351,Primary (Baseline),NoValue,na,Inconclusive,QQ5351,QQ,3,3,3,B,B,B:B,G,G,GG,20190618P_2,,,"Diff Model, JHP-FMJ",9ML,9ML
QQ5540,Primary (Baseline),ID,Norm,Match,QQ5540,QQ,3,3,3,B,A,A:B,G,P,PG,20190501F_4,50.0,68.0,"Same Model, Diff Sess, JHP",038,038
QQ5628,Primary (Baseline),NoValue,na,Inconclusive,QQ5628,QQ,2,2,2,B,B,B:B,P,G,PG,20190507O_4,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ5746,Primary (Baseline),ID,Norm,Match,QQ5746,QQ,3,3,3,A,A,A:A,P,P,PP,20190501R_1,0.0,8.0,"Same Model, Same SubSess, JHP",040,040
QQ6009,Primary (Baseline),Insuff,Norm,Inconclusive,QQ6009,QQ,3,3,3,A,B,A:B,P,G,PG,20190412P_1,90.0,108.0,"Same Model, Diff Sess, JHP-FMJ",038,038
QQ6016,Primary (Baseline),Excl,Easy,NonMatch,QQ6016,QQ,3,3,3,A,A,A:A,P,P,PP,20190618F_4,,,"Diff Model, JHP",9ML,9ML
QQ6037,Primary (Baseline),LeanID,Norm,Match,QQ6037,QQ,2,2,3,A,B,A:B,P,G,PG,20190415K_2,,,"Same Model, Diff Sess, JHP",038,038
QQ6060,Primary (Baseline),ID,Norm,Match,QQ6060,QQ,3,3,3,A,B,A:B,P,G,PG,20190415B_1,10.0,28.0,"Same Model, Same Sess, JHP",038,038
QQ6334,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ6334,QQ,3,3,3,B,B,B:B,G,G,GG,20190501D_3,,,"Same Model, Diff Sess, JHP-FMJ",038,038
QQ6474,Primary (Baseline),Excl,Easy,NonMatch,QQ6474,QQ,3,3,3,A,A,A:A,P,P,PP,20190222C_4,,,"Diff Make, JHP-FMJ",9ML,9ML
QQ6536,Primary (Baseline),Insuff,Norm,Inconclusive,QQ6536,QQ,3,3,3,B,B,B:B,G,G,GG,20190501A_4,,,"Diff Make, JHP-FMJ",038,038
QQ6740,Primary (Baseline),Insuff,Norm,Inconclusive,QQ6740,QQ,2,2,2,B,B,B:B,G,G,GG,20190412K_2,,,"Diff Model, JHP",038,038
QQ6926,Primary (Baseline),Insuff,Norm,Inconclusive,QQ6926,QQ,3,3,3,A,B,A:B,P,G,PG,20190320D_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ7103,Primary (Baseline),Insuff,Norm,Inconclusive,QQ7103,QQ,3,3,3,B,B,B:B,G,G,GG,20190618S_3,20.0,38.0,"Same Model, Same Sess, FMJ",9ML,9ML
QQ7226,Primary (Baseline),ID,Norm,Match,QQ7226,QQ,2,2,2,A,A,A:A,P,P,PP,20190412A_4,0.0,8.0,"Same Model, Same SubSess, FMJ",038,038
QQ7254,Primary (Baseline),Insuff,Norm,Inconclusive,QQ7254,QQ,2,2,2,B,B,B:B,G,P,PG,20190621P_1,70.0,88.0,"Same Model, Diff Sess, JHP-FMJ",9ML,9ML
QQ7256,Primary (Baseline),Insuff,Norm,Inconclusive,QQ7256,QQ,3,3,3,B,B,B:B,G,G,GG,20190416I_2,20.0,38.0,"Same Model, Diff Sess, FMJ-JHP",038,038
QQ7265,Primary (Baseline),Excl,VEasy,NonMatch,QQ7265,QQ,3,3,3,A,B,A:B,P,G,PG,20190412H_1,,,"Diff Caliber, FMJ",9ML,038
QQ7343,Primary (Baseline),NoValue,na,Inconclusive,QQ7343,QQ,3,3,3,A,A,A:A,P,P,PP,20190501Q_0,,,"Same Model, Diff Sess, FMJ",040,040
QQ7658,Primary (Baseline),Insuff,Norm,Inconclusive,QQ7658,QQ,3,3,3,A,A,A:A,P,P,PP,20190621S_1,30.0,48.0,"Same Model, Diff Sess, JHP-FMJ",9ML,9ML
QQ7709,Primary (Baseline),Insuff,Norm,Inconclusive,QQ7709,QQ,3,3,3,A,B,A:B,P,G,PG,20190507R_1,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ7804,Primary (Baseline),Excl,VEasy,NonMatch,QQ7804,QQ,2,2,2,A,A,A:A,P,P,PP,20190117B_4,,,"Diff Make, JHP",9ML,9ML
QQ7918,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ7918,QQ,2,2,2,B,B,B:B,G,G,GG,20190415Q_3,,,"Same Model, Diff Sess, FMJ",038,038
QQ8097,Primary (Baseline),Insuff,Norm,Inconclusive,QQ8097,QQ,3,3,3,A,A,A:A,P,P,PP,20190621P_2,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ8241,Primary (Baseline),NoValue,na,Inconclusive,QQ8241,QQ,3,3,3,B,B,B:B,G,G,GG,20190415Q_3,,,"Diff Caliber, FMJ",9ML,038
QQ8441,Primary (Baseline),Excl,VEasy,NonMatch,QQ8441,QQ,2,2,2,A,A,A:A,P,P,PP,20190404C_1,,,"Diff Model, FMJ-JHP",9ML,9ML
QQ5221,Primary (Baseline),ID,Diff,Match,QQ5221,QQ,3,3,3,A,B,A:B,P,G,PG,20190412Q_2,30.0,48.0,"Same Model, Diff Sess, FMJ",038,038
QQ5907,Primary (Baseline),ID,VEasy,Match,QQ5907,QQ,3,3,3,A,A,A:A,P,P,PP,20190501M_0,0.0,8.0,"Same Model, Same SubSess, FMJ",040,040
QQ5989,Primary (Baseline),Excl,Easy,NonMatch,QQ5989,QQ,3,3,3,A,B,A:B,P,G,PG,20190415I_4,,,"Diff Make, JHP",038,038
QQ6024,Primary (Baseline),Excl,VEasy,NonMatch,QQ6024,QQ,3,3,3,A,A,A:A,P,P,PP,20190621O_3,,,"Diff Model, JHP",9ML,9ML
QQ6265,Primary (Baseline),Excl,Norm,NonMatch,QQ6265,QQ,3,3,3,A,B,A:B,P,G,PG,20190621K_3,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ6459,Primary (Baseline),Insuff,Diff,Inconclusive,QQ6459,QQ,3,3,3,A,A,A:A,P,P,PP,20190412H_4,40.0,58.0,"Same Model, Diff Sess, FMJ",038,038
QQ6714,Primary (Baseline),Insuff,Diff,Inconclusive,QQ6714,QQ,3,3,3,B,B,B:B,G,G,GG,20190412I_3,,,"Same Model, Diff Sess, FMJ-JHP",038,038
QQ7161,Primary (Baseline),Insuff,Diff,Inconclusive,QQ7161,QQ,3,3,3,A,A,A:A,P,P,PP,20190507E_0,,,"Same Model, Diff Sess, FMJ",040,040
QQ7244,Primary (Baseline),Excl,Easy,NonMatch,QQ7244,QQ,3,3,3,B,B,B:B,G,G,GG,20190618F_2,,,"Diff Model, JHP",9ML,9ML
QQ7282,Primary (Baseline),Insuff,VDiff,Inconclusive,QQ7282,QQ,3,3,3,B,B,B:B,G,G,GG,20190501E_1,10.0,28.0,"Same Model, Diff Sess, FMJ-JHP",038,038
QQ7285,Primary (Baseline),ID,Easy,Match,QQ7285,QQ,3,3,3,B,B,B:B,G,G,GG,20190618F_4,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
QQ7323,Primary (Baseline),Excl,VEasy,NonMatch,QQ7323,QQ,3,3,3,A,A,A:A,P,P,PP,20190117C_1,,,"Diff Make, JHP-FMJ",9ML,9ML
QQ7384,Primary (Baseline),Excl,Diff,NonMatch,QQ7384,QQ,3,3,3,A,B,A:B,P,G,PG,20190416I_1,,,"Same Model, Diff Sess, JHP",038,038
QQ7597,Primary (Baseline),Insuff,VDiff,Inconclusive,QQ7597,QQ,3,3,3,A,B,A:B,P,G,PG,20190621E_2,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ8032,Primary (Baseline),ID,Norm,Match,QQ8032,QQ,3,3,3,A,B,A:B,P,G,PG,20190415I_0,0.0,8.0,"Same Model, Same SubSess, JHP",038,038
QQ8058,Primary (Baseline),Excl,Norm,NonMatch,QQ8058,QQ,3,3,3,A,A,A:A,P,P,PP,20190621K_2,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ8087,Primary (Baseline),Excl,Diff,NonMatch,QQ8087,QQ,3,3,4,A,B,A:B,P,G,PG,20190412E_1,10.0,28.0,"Same Model, Diff Sess, FMJ-JHP",038,038
QQ8089,Primary (Baseline),Insuff,Diff,Inconclusive,QQ8089,QQ,3,3,3,C,B,B:C,G,G,GG,20190618P_1,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ8305,Primary (Baseline),Excl,Easy,NonMatch,QQ8305,QQ,3,3,3,B,C,B:C,G,G,GG,20190404C_1,,,"Diff Caliber, JHP",038,9ML
QQ8399,Primary (Baseline),ID,Diff,Match,QQ8399,QQ,3,3,3,A,A,A:A,P,P,PP,20190618M_2,50.0,68.0,"Same Model, Diff Sess, JHP-FMJ",9ML,9ML
QQ5100,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ5100,QQ,1,1,1,A,A,A:A,P,P,PP,20190117C_2,,,"Same Model, Diff Sess, JHP-FMJ",9ML,9ML
QQ5130,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5130,QQ,1,1,1,B,B,B:B,G,G,GG,20190412B_4,40.0,58.0,"Same Model, Diff Sess, JHP-FMJ",038,038
QQ5136,Primary (Baseline),Excl,Norm,NonMatch,QQ5136,QQ,1,1,1,A,B,A:B,P,G,PG,20190618D_2,,,"Diff Model, FMJ",9ML,9ML
QQ5192,Primary (Baseline),Excl,Easy,NonMatch,QQ5192,QQ,1,1,1,A,B,A:B,P,G,PG,20190117C_3,,,"Diff Make, JHP-FMJ",9ML,9ML
QQ5299,Primary (Baseline),Excl,Norm,NonMatch,QQ5299,QQ,1,1,1,A,B,A:B,P,G,PG,20190222A_4,,,"Diff Model, JHP",9ML,9ML
QQ5326,Primary (Baseline),ID,Diff,Match,QQ5326,QQ,1,1,1,B,B,B:B,G,G,GG,20190415P_3,10.0,28.0,"Same Model, Same Sess, FMJ",038,038
QQ5787,Primary (Baseline),Excl,Easy,NonMatch,QQ5787,QQ,1,1,1,A,A,A:A,P,P,PP,20190618A_3,,,"Diff Caliber, FMJ",038,9ML
QQ5836,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5836,QQ,1,1,1,A,A,A:A,P,P,PP,20190621Q_1,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ6748,Primary (Baseline),Insuff,Norm,Inconclusive,QQ6748,QQ,1,1,1,B,B,B:B,G,G,GG,20190415P_4,,,"Same Model, Diff Sess, FMJ",038,038
QQ8847,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ8847,QQ,1,1,1,B,B,B:B,G,G,GG,20190501E_2,,,"Diff Make, JHP",038,038
QQ5989,Primary (Baseline),Excl,Norm,NonMatch,QQ5989,QQ,3,3,3,A,B,A:B,P,G,PG,20190415I_4,,,"Diff Make, JHP",038,038
QQ6024,Primary (Baseline),Excl,VEasy,NonMatch,QQ6024,QQ,3,3,3,A,A,A:A,P,P,PP,20190621O_3,,,"Diff Model, JHP",9ML,9ML
QQ6714,Primary (Baseline),Insuff,Norm,Inconclusive,QQ6714,QQ,3,3,3,B,B,B:B,G,G,GG,20190412I_3,,,"Same Model, Diff Sess, FMJ-JHP",038,038
QQ7040,Primary (Baseline),LeanExcl,Diff,NonMatch,QQ7040,QQ,3,3,3,A,A,A:A,P,G,PG,20190508I_0,20.0,38.0,"Same Model, Diff Sess, JHP",9ML,9ML
QQ7161,Primary (Baseline),Insuff,Diff,Inconclusive,QQ7161,QQ,3,3,3,A,A,A:A,P,P,PP,20190507E_0,,,"Same Model, Diff Sess, FMJ",040,040
QQ7244,Primary (Baseline),LeanExcl,Diff,NonMatch,QQ7244,QQ,3,3,3,B,B,B:B,G,G,GG,20190618F_2,,,"Diff Model, JHP",9ML,9ML
QQ7306,Primary (Baseline),ID,Norm,Match,QQ7306,QQ,3,3,4,A,B,A:B,P,G,PG,20190618A_4,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ7907,Primary (Baseline),ID,Norm,Match,QQ7907,QQ,3,3,3,B,B,B:B,G,G,GG,20190415F_0,0.0,8.0,"Same Model, Same SubSess, JHP",038,038
QQ7914,Primary (Baseline),Insuff,VDiff,Inconclusive,QQ7914,QQ,3,3,3,A,C,A:C,P,G,PG,20190621M_4,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ8258,Primary (Baseline),Excl,Easy,NonMatch,QQ8258,QQ,3,3,3,A,A,A:A,P,P,PP,20190621P_1,,,"Diff Make, JHP-FMJ",9ML,9ML
QQ8279,Primary (Baseline),ID,Norm,Match,QQ8279,QQ,3,3,3,B,A,A:B,G,G,GG,20190404C_0,10.0,28.0,"Same Model, Diff Sess, FMJ-JHP",9ML,9ML
QQ8295,Primary (Baseline),Insuff,Norm,Inconclusive,QQ8295,QQ,3,3,3,A,A,A:A,P,P,PP,20190618I_2,60.0,78.0,"Same Model, Diff Sess, FMJ-JHP",9ML,9ML
QQ8401,Primary (Baseline),Insuff,Diff,Inconclusive,QQ8401,QQ,3,3,4,A,A,A:A,P,P,PP,20190415N_2,,,"Same Model, Diff Sess, FMJ",038,038
QQ8410,Primary (Baseline),ID,Norm,Match,QQ8410,QQ,3,3,3,A,B,A:B,P,G,PG,20190501O_1,0.0,8.0,"Same Model, Same SubSess, JHP",040,040
QQ8421,Primary (Baseline),Excl,Norm,NonMatch,QQ8421,QQ,3,3,3,B,B,B:B,G,G,GG,20190501P_4,,,"Diff Caliber, JHP-FMJ",9ML,040
QQ5003,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5003,QQ,3,3,3,B,B,B:B,G,G,GG,20190618M_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
QQ5057,Primary (Baseline),Excl,Easy,NonMatch,QQ5057,QQ,2,2,2,A,A,A:A,P,P,PP,20190621U_3,,,"Diff Make, FMJ-JHP",9ML,9ML
QQ5105,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5105,QQ,3,3,4,A,B,A:B,P,G,PG,20190415L_3,30.0,48.0,"Same Model, Diff Sess, JHP-FMJ",038,038
QQ5160,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5160,QQ,3,3,3,B,B,B:B,G,G,GG,20190415D_4,,,"Diff Make, JHP-FMJ",038,038
QQ5336,Primary (Baseline),Insuff,Diff,Inconclusive,QQ5336,QQ,3,3,3,A,A,A:A,P,P,PP,20190501C_4,0.0,8.0,"Same Model, Same SubSess, JHP",038,038
QQ5345,Primary (Baseline),Excl,VEasy,NonMatch,QQ5345,QQ,3,3,3,A,B,A:B,P,G,PG,20190621X_3,,,"Diff Caliber, JHP",040,9ML
QQ5393,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5393,QQ,1,1,1,B,A,A:B,G,P,PG,20190412K_3,,,"Diff Model, FMJ-JHP",038,038
QQ5407,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5407,QQ,1,1,1,A,B,A:B,P,G,PG,20190412U_4,,,"Diff Model, JHP",038,038
QQ5439,Primary (Baseline),Excl,Easy,NonMatch,QQ5439,QQ,2,2,2,B,B,B:B,G,G,GG,20190507E_0,,,"Diff Caliber, JHP-FMJ",9ML,040
QQ5588,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5588,QQ,3,3,3,A,B,A:B,P,P,PP,20190501M_1,,,"Same Model, Diff Sess, FMJ",040,040
QQ5654,Primary (Baseline),LeanID,Norm,Match,QQ5654,QQ,2,2,2,B,B,B:B,G,G,GG,20190415A_3,0.0,8.0,"Same Model, Same SubSess, FMJ",038,038
QQ5776,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5776,QQ,3,3,4,A,C,A:C,P,G,PG,20190621U_1,,,"Same Model, Diff Sess, JHP",9ML,9ML
QQ5945,Primary (2nd assignments),Excl,Norm,NonMatch,QQ5945,QQ,3,4,4,B,B,B:B,G,G,GG,20190618G_1,,,"Diff Model, JHP-FMJ",9ML,9ML
QQ5945,Primary (Baseline),LeanExcl,Norm,NonMatch,QQ5945,QQ,3,4,4,B,B,B:B,G,G,GG,20190618G_1,,,"Diff Model, JHP-FMJ",9ML,9ML
QQ5983,Primary (Baseline),Insuff,Norm,Inconclusive,QQ5983,QQ,2,2,2,B,B,B:B,G,G,GG,20190412K_3,50.0,68.0,"Same Model, Diff Sess, FMJ-JHP",038,038
QQ6010,Primary (Baseline),Insuff,Norm,Inconclusive,QQ6010,QQ,1,1,1,A,A,A:A,P,P,PP,20190415I_4,,,"Same Model, Diff Sess, FMJ-JHP",038,038
